171,05:00:00
121,05:11:00
171,05:30:00
121,05:44:00
177,05:53:00
171,06:00:00
121,06:14:00
177,06:23:00
171,06:30:00
121,06:44:00
177,06:53:00
171,06:58:00
121,07:16:00
177,07:22:00
171,07:25:00
121,07:47:00
177,07:52:00
171,07:52:00
121,08:17:00
171,08:20:00
177,08:22:00
121,08:47:00
171,08:49:00
177,08:52:00
121,09:14:00
171,09:19:00
177,09:22:00
121,09:37:00
171,09:49:00
177,09:52:00
121,09:58:00
121,10:19:00
171,10:19:00
177,10:21:00
121,10:38:00
171,10:49:00
177,10:51:00
121,10:57:00
121,11:16:00
171,11:19:00
177,11:20:00
121,11:34:00
171,11:49:00
177,11:50:00
121,11:51:00
121,12:08:00
171,12:20:00
177,12:21:00
121,12:25:00
121,12:43:00
171,12:51:00
177,12:52:00
121,13:01:00
121,13:17:00
177,13:19:00
171,13:21:00
121,13:32:00
121,13:48:00
177,13:52:00
171,13:52:00
121,14:08:00
177,14:22:00
171,14:23:00
121,14:28:00
121,14:48:00
177,14:50:00
171,14:54:00
121,15:07:00
177,15:23:00
121,15:24:00
171,15:25:00
121,15:38:00
121,15:53:00
177,15:54:00
171,15:56:00
121,16:08:00
177,16:22:00
121,16:23:00
171,16:26:00
121,16:40:00
177,16:46:00
171,16:56:00
121,16:56:00
177,17:08:00
121,17:12:00
171,17:26:00
121,17:28:00
177,17:40:00
121,17:44:00
171,17:56:00
121,18:01:00
177,18:10:00
121,18:15:00
171,18:26:00
121,18:34:00
177,18:39:00
171,18:56:00
121,18:58:00
177,19:12:00
171,19:26:00
121,19:26:00
177,19:40:00
121,19:56:00
171,19:56:00
177,20:07:00
121,20:25:00
171,20:26:00
177,20:32:00
121,20:55:00
171,20:56:00
177,20:57:00
121,21:26:00
171,21:26:00
171,21:56:00
121,21:57:00
121,22:26:00
171,22:27:00
121,22:57:00
171,22:58:00
121,23:28:00
171,23:29:00
121,23:59:00
171,24:00:00
121,24:30:00
171,24:31:00
121,24:59:00
171,25:02:00
380,25:14:00
121,25:31:00
378,25:51:00
380,26:00:00
378,26:41:00
380,26:45:00
380,27:29:00
378,27:32:00
380,28:14:00
378,28:25:00
