124,06:03:52
128,06:18:46
124,06:33:52
128,06:36:46
202,06:46:42
128,07:00:46
124,07:02:52
202,07:15:42
124,07:35:52
202,07:37:42
128,07:39:46
202,07:43:42
202,08:02:09
202,08:05:09
124,08:09:52
128,08:15:46
202,08:30:09
124,08:40:52
128,08:50:46
202,09:00:09
124,09:09:52
128,09:20:46
202,09:32:42
124,09:35:52
128,09:48:46
202,10:03:42
124,10:03:52
128,10:15:46
202,10:31:42
124,10:34:52
128,10:46:46
202,11:01:42
124,11:05:52
128,11:15:46
202,11:28:42
124,11:35:52
128,11:41:46
202,11:55:42
124,12:06:52
128,12:07:46
202,12:18:42
128,12:35:46
124,12:37:52
202,12:46:42
124,13:07:52
128,13:08:46
202,13:18:42
128,13:36:46
124,13:40:05
202,13:45:42
128,14:04:46
124,14:12:05
202,14:12:42
128,14:36:46
202,14:43:42
124,14:44:05
202,15:11:09
124,15:16:05
128,15:17:46
202,15:28:09
202,15:40:09
128,15:46:46
124,15:47:05
202,16:03:09
124,16:16:05
202,16:23:09
128,16:26:46
202,16:33:09
202,16:40:09
202,16:41:09
124,16:45:05
202,16:47:09
202,17:01:09
128,17:04:46
124,17:14:05
202,17:18:09
202,17:26:09
128,17:41:46
124,17:43:05
202,17:53:09
202,17:59:09
128,18:13:46
124,18:13:52
202,18:29:42
124,18:41:39
128,18:43:46
202,18:56:42
128,19:08:46
124,19:13:39
128,19:20:46
202,19:25:42
124,19:41:39
128,19:45:46
202,19:52:42
124,20:10:39
128,20:10:46
202,20:25:42
124,20:40:39
128,20:41:46
202,20:57:42
124,21:08:39
128,21:13:18
202,21:26:42
124,21:34:39
128,21:38:18
202,21:47:42
124,22:03:39
202,22:06:42
128,22:15:18
202,22:28:42
124,22:32:39
128,22:44:18
202,23:00:42
124,23:01:39
128,23:16:18
202,23:27:42
124,23:30:39
128,23:43:18
202,23:56:42
124,23:57:39
128,24:13:18
124,24:24:39
202,24:25:42
202,24:57:42
380,26:42:12
380,27:28:12
380,28:13:12
380,29:13:12
380,29:28:12
380,29:36:12
380,29:43:12
380,29:57:12
