121,05:11:00
121,05:40:00
171,05:45:28
121,06:10:00
171,06:16:28
177,06:22:28
121,06:36:00
171,06:48:42
177,06:49:28
121,07:01:00
177,07:07:57
171,07:19:42
177,07:24:57
121,07:27:00
171,07:49:57
177,07:50:57
121,07:51:00
121,08:16:00
171,08:20:57
177,08:21:57
121,08:39:00
171,08:50:57
177,08:52:57
121,08:57:00
121,09:17:00
177,09:21:57
171,09:22:57
121,09:33:00
121,09:48:00
177,09:50:57
171,09:53:57
121,10:04:00
121,10:19:00
177,10:20:57
171,10:23:57
121,10:35:00
177,10:49:57
121,10:51:00
171,10:53:57
121,11:06:00
121,11:20:00
177,11:20:57
171,11:23:57
121,11:35:00
121,11:49:00
177,11:51:57
171,11:54:57
121,12:05:00
121,12:20:00
177,12:22:57
171,12:24:57
121,12:35:00
121,12:49:00
177,12:50:57
171,12:54:57
121,13:03:00
121,13:16:00
177,13:17:57
171,13:25:57
121,13:28:00
121,13:40:00
177,13:45:57
121,13:51:00
171,13:56:57
121,14:03:00
177,14:09:57
121,14:15:00
171,14:26:57
121,14:28:00
177,14:35:57
121,14:40:00
121,14:52:00
171,14:55:57
121,15:03:00
177,15:08:57
121,15:15:00
121,15:25:00
171,15:26:57
121,15:36:00
177,15:41:57
121,15:47:00
171,15:57:57
121,16:00:00
177,16:11:57
121,16:13:00
121,16:27:00
171,16:28:57
121,16:41:00
177,16:42:57
121,16:56:00
171,16:59:57
121,17:11:00
177,17:13:57
121,17:24:00
171,17:30:57
121,17:35:00
177,17:43:57
121,17:48:00
171,18:01:57
121,18:02:00
177,18:12:57
121,18:17:00
171,18:31:57
121,18:33:00
177,18:42:57
121,18:50:00
171,19:02:57
121,19:07:00
177,19:12:57
121,19:30:00
171,19:32:57
177,19:42:57
121,19:56:00
171,20:01:57
177,20:11:57
121,20:26:00
171,20:30:57
177,20:40:57
121,20:56:00
171,21:00:57
121,21:24:00
171,21:30:57
121,21:56:00
171,22:01:57
121,22:26:00
171,22:32:57
121,22:56:00
171,23:03:57
121,23:27:00
171,23:34:57
121,23:54:00
171,24:05:57
121,00:25:00
171,00:35:28
121,00:54:00
171,01:06:28
121,01:27:00
171,01:37:28
171,02:09:28
378,02:38:38
380,02:45:32
380,03:31:32
378,03:32:38
380,04:14:32
378,04:20:38
380,04:59:32
