121,05:17:00
121,05:23:00
121,05:29:00
174,05:30:00
121,05:35:00
177,05:37:28
121,05:44:00
171,05:48:28
177,05:52:28
121,05:53:00
174,05:56:00
121,06:02:00
177,06:07:28
121,06:14:00
171,06:14:28
174,06:16:00
177,06:19:28
121,06:23:00
174,06:24:00
177,06:30:28
121,06:31:00
174,06:34:00
171,06:34:28
121,06:38:00
177,06:39:28
121,06:45:00
177,06:47:28
174,06:49:00
171,06:52:28
121,06:53:00
177,06:54:28
121,07:00:00
177,07:02:11
121,07:07:00
171,07:08:28
174,07:09:00
177,07:09:11
121,07:14:00
177,07:15:11
121,07:20:00
177,07:21:11
171,07:25:11
177,07:27:11
174,07:28:00
121,07:29:00
177,07:33:11
121,07:35:00
171,07:36:11
177,07:39:11
121,07:41:00
174,07:45:00
121,07:46:00
177,07:46:11
171,07:48:11
121,07:51:00
177,07:53:11
121,07:56:00
174,08:00:00
121,08:00:00
171,08:01:11
177,08:01:11
121,08:05:00
174,08:08:00
177,08:09:11
121,08:11:00
121,08:15:00
171,08:15:11
121,08:17:00
177,08:18:11
121,08:21:00
174,08:23:00
121,08:28:00
171,08:28:11
177,08:30:11
121,08:33:00
121,08:37:00
177,08:42:11
171,08:42:11
121,08:44:00
121,08:47:00
174,08:48:00
177,08:54:11
171,08:54:42
121,08:58:00
177,09:04:42
121,09:07:00
171,09:08:42
121,09:16:00
177,09:16:42
174,09:19:00
171,09:23:42
121,09:26:00
177,09:28:42
121,09:36:00
171,09:43:42
177,09:45:42
121,09:46:00
174,09:48:00
121,09:58:00
177,10:05:42
171,10:08:42
121,10:10:00
174,10:16:00
121,10:22:00
177,10:29:42
121,10:34:00
171,10:34:42
121,10:46:00
174,10:48:00
177,10:57:42
121,10:58:00
171,10:59:42
121,11:10:00
174,11:16:00
121,11:22:00
171,11:25:42
177,11:27:42
121,11:34:00
121,11:46:00
174,11:48:00
171,11:51:42
177,11:56:42
121,11:58:00
121,12:10:00
174,12:16:00
171,12:18:42
121,12:20:00
177,12:25:42
121,12:30:00
171,12:39:42
121,12:40:00
174,12:48:00
121,12:50:00
177,12:54:42
171,12:55:42
121,13:00:00
121,13:10:00
171,13:12:42
174,13:18:00
121,13:21:00
177,13:23:57
171,13:29:42
121,13:33:00
121,13:45:00
171,13:47:57
174,13:48:00
177,13:52:57
121,13:55:00
121,14:05:00
171,14:10:57
121,14:16:00
174,14:17:00
177,14:22:57
121,14:28:00
171,14:35:57
121,14:41:00
174,14:46:00
121,14:53:00
177,14:54:57
171,15:00:57
121,15:06:00
121,15:16:00
174,15:17:00
171,15:26:57
121,15:28:00
177,15:28:57
121,15:36:00
121,15:46:00
174,15:49:00
171,15:53:57
121,15:55:00
177,16:01:57
121,16:03:00
121,16:13:00
171,16:16:57
174,16:18:00
121,16:23:00
121,16:27:00
177,16:29:57
121,16:31:00
171,16:35:57
121,16:38:00
121,16:41:00
174,16:47:00
121,16:51:00
171,16:54:57
177,16:56:57
121,16:58:00
121,17:05:00
171,17:12:57
121,17:14:00
174,17:18:00
121,17:24:00
177,17:28:57
171,17:32:57
121,17:34:00
121,17:45:00
174,17:50:00
171,17:52:57
121,17:54:00
177,17:56:57
121,18:04:00
171,18:13:57
121,18:15:00
174,18:22:00
121,18:23:00
121,18:26:00
177,18:29:57
171,18:33:42
121,18:38:00
121,18:50:00
174,18:51:00
171,18:56:42
177,18:59:57
121,19:02:00
121,19:14:00
174,19:20:00
171,19:20:42
121,19:26:00
177,19:26:57
121,19:36:00
121,19:47:00
171,19:47:42
174,19:50:00
177,19:57:57
121,19:58:00
121,20:10:00
171,20:16:28
121,20:22:00
177,20:30:57
171,20:46:28
121,20:47:00
174,20:49:00
177,20:56:57
121,21:13:00
171,21:16:28
121,21:39:00
171,21:46:28
174,21:48:00
121,22:04:00
171,22:14:28
121,22:28:00
171,22:44:28
174,22:47:00
121,22:57:00
171,23:11:28
121,23:26:00
171,23:41:28
121,23:55:00
171,24:11:28
121,24:23:00
171,24:41:28
121,24:54:00
171,25:12:28
121,25:25:00
171,25:42:28
121,25:51:00
380,26:25:39
378,26:37:30
380,27:07:39
378,27:25:38
380,27:56:39
378,28:22:38
380,28:51:17
380,29:06:17
380,29:14:17
380,29:21:17
380,29:35:17
