Longitude,Latitude,LineStringColor,Icon
-73.551874,45.532721,blue,none
-73.552425,45.532957,blue,none
-73.552629,45.533039,blue,none
-73.553039,45.533199,blue,none
-73.553845,45.53355,blue,none
-73.554255,45.533721,blue,none
-73.55572,45.534333,blue,none
-73.555721,45.534333,blue,none
-73.55587,45.534395,blue,none
-73.556293,45.534566,blue,none
-73.558401,45.535475,blue,none
-73.558584,45.535554,blue,none
-73.561005,45.53657,blue,none
-73.561039,45.536572,blue,none
-73.561062,45.536556,blue,none
-73.561382,45.535933,blue,none
-73.561473,45.535687,blue,none
-73.561638,45.535239,blue,none
-73.561893,45.534447,blue,none
-73.562079,45.533875,blue,none
-73.562148,45.533664,blue,none
-73.56234,45.533061,blue,none
-73.562467,45.53263,blue,none
-73.562518,45.532458,blue,none
-73.562812,45.531549,blue,none
-73.562979,45.53106,blue,none
-73.56308,45.530766,blue,none
-73.563296,45.530009,blue,none
-73.563444,45.52956,blue,none
-73.563513,45.529353,blue,none
-73.563692,45.528813,blue,none
-73.563973,45.52794,blue,none
-73.56423,45.527212,blue,none
-73.564292,45.52704,blue,none
-73.564394,45.526698,blue,none
-73.564508,45.52631,blue,none
-73.564559,45.526103,blue,none
-73.564712,45.525645,blue,none
-73.564764,45.525491,blue,none
-73.564802,45.525374,blue,none
-73.565006,45.524619,blue,none
-73.565274,45.523836,blue,none
-73.565406,45.523333,blue,none
-73.565478,45.523061,blue,none
-73.565597,45.522952,blue,none
-73.565972,45.522634,blue,none
-73.566255,45.522324,blue,none
-73.566573,45.521977,blue,none
-73.566688,45.521878,blue,none
-73.567289,45.521202,blue,none
-73.567852,45.520616,blue,none
-73.568146,45.520292,blue,none
-73.568412,45.519992,blue,none
-73.568529,45.51986,blue,none
-73.569232,45.519123,blue,none
-73.569258,45.519096,blue,none
-73.569308,45.519052,blue,none
-73.569312,45.519045,blue,none
-73.569313,45.519037,blue,none
-73.569274,45.518866,blue,none
-73.569271,45.51886,blue,none
-73.569264,45.518854,blue,none
-73.569136,45.518792,blue,none
-73.568637,45.518558,blue,none
-73.568163,45.518324,blue,none
-73.56812,45.518305,blue,none
-73.567983,45.518243,blue,none
-73.567101,45.517834,blue,none
-73.567402,45.517148,blue,none
-73.567504,45.516916,blue,none
-73.567989,45.515827,blue,none
-73.568309,45.515152,blue,none
-73.568482,45.514739,blue,none
-73.568551,45.514575,blue,none
-73.568793,45.513946,blue,none
-73.568985,45.513524,blue,none
-73.56924,45.513029,blue,none
-73.56939,45.512681,blue,none
-73.56947,45.512497,blue,none
-73.569688,45.511992,blue,none
-73.569854,45.511543,blue,none
-73.569986,45.511251,blue,none
-73.570057,45.511093,blue,none
-73.570351,45.510427,blue,none
-73.57058,45.509941,blue,none
-73.570787,45.509468,blue,none
-73.570848,45.509329,blue,none
-73.570989,45.508997,blue,none
-73.571321,45.508349,blue,none
-73.571637,45.507806,blue,none
-73.571702,45.507693,blue,none
-73.571945,45.507306,blue,none
-73.57206,45.507117,blue,none
-73.572149,45.506982,blue,none
-73.572239,45.506819,blue,none
-73.572328,45.506667,blue,none
-73.572456,45.506469,blue,none
-73.572585,45.506243,blue,none
-73.572649,45.506117,blue,none
-73.572751,45.505948,blue,none
-73.572991,45.505552,blue,none
-73.573427,45.505082,blue,none
-73.573514,45.504988,blue,none
-73.574101,45.504385,blue,none
-73.57474,45.5037,blue,none
-73.575161,45.503289,blue,none
-73.575301,45.503152,blue,none
-73.575774,45.502701,blue,none
-73.57594,45.502531,blue,none
-73.576004,45.502478,blue,none
-73.57626,45.502224,blue,none
-73.576468,45.502007,blue,none
-73.576605,45.501863,blue,none
-73.577308,45.501134,blue,none
-73.577985,45.500442,blue,none
-73.578344,45.50009,blue,none
