Longitude,Latitude,LineStringColor,Icon
-73.604668,45.453339,blue,none
-73.605311,45.452566,blue,none
-73.605397,45.452464,blue,none
-73.605945,45.45178,blue,none
-73.606213,45.451474,blue,none
-73.606353,45.451293,blue,none
-73.606977,45.450556,blue,none
-73.607666,45.449727,blue,none
-73.607755,45.449619,blue,none
-73.608315,45.448991,blue,none
-73.609015,45.448425,blue,none
-73.609704,45.447857,blue,none
-73.609844,45.44775,blue,none
-73.610866,45.446956,blue,none
-73.611136,45.446742,blue,none
-73.612078,45.445993,blue,none
-73.612142,45.445948,blue,none
-73.612552,45.445635,blue,none
-73.613316,45.445047,blue,none
-73.614116,45.444422,blue,none
-73.614116,45.444421,blue,none
-73.614374,45.444219,blue,none
-73.614628,45.444057,blue,none
-73.615661,45.443373,blue,none
-73.616689,45.44279,blue,none
-73.617026,45.442599,blue,none
-73.61883,45.441584,blue,none
-73.619031,45.441472,blue,none
-73.619363,45.441291,blue,none
-73.620246,45.440804,blue,none
-73.620283,45.440777,blue,none
-73.621714,45.439938,blue,none
-73.62234,45.439505,blue,none
-73.622351,45.439483,blue,none
-73.622328,45.439465,blue,none
-73.622255,45.43944,blue,none
-73.62218,45.439395,blue,none
-73.621623,45.439132,blue,none
-73.62013,45.438424,blue,none
-73.618722,45.437805,blue,none
-73.618051,45.437505,blue,none
-73.618052,45.437505,blue,none
-73.617879,45.437428,blue,none
-73.617558,45.437275,blue,none
-73.617388,45.437211,blue,none
-73.61718,45.437156,blue,none
-73.616501,45.437031,blue,none
-73.615566,45.436888,blue,none
-73.61489,45.436778,blue,none
-73.614684,45.436745,blue,none
-73.613699,45.436593,blue,none
-73.612919,45.436467,blue,none
-73.612414,45.43639,blue,none
-73.612281,45.436369,blue,none
-73.611629,45.436253,blue,none
-73.610504,45.436029,blue,none
-73.609649,45.435878,blue,none
-73.609494,45.43585,blue,none
-73.605555,45.435188,blue,none
-73.605275,45.435141,blue,none
-73.605069,45.435107,blue,none
-73.604802,45.435062,blue,none
-73.604574,45.43501,blue,none
-73.604385,45.434956,blue,none
-73.603977,45.434823,blue,none
-73.603724,45.434724,blue,none
-73.603472,45.43461,blue,none
-73.603208,45.434449,blue,none
-73.605263,45.433088,blue,none
-73.606841,45.432066,blue,none
-73.608365,45.431079,blue,none
-73.609016,45.430655,blue,none
-73.609782,45.43015,blue,none
-73.609923,45.430061,blue,none
-73.609934,45.430042,blue,none
-73.609916,45.430023,blue,none
-73.609788,45.429951,blue,none
-73.608973,45.429396,blue,none
-73.608731,45.429217,blue,none
-73.608654,45.429146,blue,none
-73.608421,45.428954,blue,none
-73.608176,45.428809,blue,none
-73.607197,45.428327,blue,none
-73.607151,45.428305,blue,none
-73.60656,45.428044,blue,none
-73.606263,45.427936,blue,none
-73.606592,45.427521,blue,none
-73.606655,45.427443,blue,none
-73.607942,45.425759,blue,none
-73.608297,45.425328,blue,none
-73.608401,45.4252,blue,none
-73.608529,45.425029,blue,none
-73.60863,45.424914,blue,none
-73.608781,45.424781,blue,none
-73.60897,45.424646,blue,none
-73.609135,45.424548,blue,none
-73.609274,45.424477,blue,none
-73.609489,45.424388,blue,none
-73.60973,45.424316,blue,none
-73.610611,45.424018,blue,none
-73.610886,45.423927,blue,none
-73.611454,45.423739,blue,none
-73.611467,45.423728,blue,none
-73.611465,45.423713,blue,none
-73.610393,45.422288,blue,none
-73.610274,45.422131,blue,none
-73.609813,45.421519,blue,none
-73.609394,45.420948,blue,none
-73.609364,45.420908,blue,none
-73.608843,45.420184,blue,none
-73.611101,45.419622,blue,none
-73.611333,45.419571,blue,none
-73.611333,45.419572,blue,none
-73.611471,45.419541,blue,none
-73.612974,45.419165,blue,none
-73.613131,45.419125,blue,none
-73.613923,45.418917,blue,none
-73.615609,45.41852,blue,none
-73.616297,45.418333,blue,none
-73.616439,45.418294,blue,none
-73.61732,45.418077,blue,none
-73.617563,45.418023,blue,none
-73.617756,45.417969,blue,none
-73.618565,45.417755,blue,none
-73.618712,45.417716,blue,none
-73.619491,45.417517,blue,none
-73.620181,45.417336,blue,none
-73.621425,45.417025,blue,none
-73.621621,45.416976,blue,none
-73.622242,45.416903,blue,none
-73.623556,45.416884,blue,none
-73.624667,45.416864,blue,none
-73.625578,45.416871,blue,none
-73.625578,45.416872,blue,none
-73.625739,45.416872,blue,none
-73.626404,45.416872,blue,none
-73.626424,45.416868,blue,none
-73.626429,45.416849,blue,none
-73.626415,45.415513,blue,none
-73.626413,45.41542,blue,none
-73.627365,45.415489,blue,none
-73.628284,45.415676,blue,none
-73.628599,45.415715,blue,none
-73.629245,45.415793,blue,none
-73.629966,45.415846,blue,none
-73.630431,45.415828,blue,none
-73.630776,45.415782,blue,none
