Longitude,Latitude,LineStringColor,Icon
-73.751575,45.456378,blue,none
-73.75155,45.455938,blue,none
-73.751523,45.455686,blue,none
-73.751509,45.455424,blue,none
-73.751418,45.455089,blue,none
-73.751353,45.454883,blue,none
-73.751275,45.454585,blue,none
-73.751145,45.45435,blue,none
-73.751059,45.454058,blue,none
-73.751039,45.453989,blue,none
-73.751014,45.453858,blue,none
-73.750822,45.453582,blue,none
-73.75064,45.453087,blue,none
-73.750442,45.452856,blue,none
-73.750216,45.452708,blue,none
-73.749861,45.452588,blue,none
-73.749547,45.452542,blue,none
-73.749233,45.452525,blue,none
-73.748322,45.452617,blue,none
-73.747518,45.452673,blue,none
-73.746777,45.452719,blue,none
-73.745913,45.45273,blue,none
-73.745108,45.452696,blue,none
-73.744566,45.452653,blue,none
-73.744274,45.452564,blue,none
-73.743238,45.452359,blue,none
-73.742706,45.452183,blue,none
-73.742316,45.452006,blue,none
-73.742194,45.451904,blue,none
-73.742068,45.451738,blue,none
-73.741941,45.451526,blue,none
-73.741903,45.451394,blue,none
-73.741854,45.451116,blue,none
-73.74185,45.451022,blue,none
-73.741886,45.450562,blue,none
-73.741921,45.44976,blue,none
-73.741919,45.449271,blue,none
-73.74217,45.448092,blue,none
-73.742169,45.448036,blue,none
-73.742207,45.447875,blue,none
-73.742241,45.447784,blue,none
-73.742298,45.447727,blue,none
-73.742449,45.44762,blue,none
-73.742716,45.447525,blue,none
-73.742841,45.447508,blue,none
-73.743004,45.447481,blue,none
-73.743179,45.447471,blue,none
-73.743342,45.447471,blue,none
-73.743541,45.447488,blue,none
-73.743694,45.447515,blue,none
-73.743897,45.447757,blue,none
-73.744023,45.448057,blue,none
-73.744025,45.448251,blue,none
-73.74394,45.448582,blue,none
-73.743803,45.448623,blue,none
-73.743413,45.448616,blue,none
-73.743285,45.448615,blue,none
-73.742526,45.448589,blue,none
-73.742441,45.448555,blue,none
-73.742376,45.448525,blue,none
-73.742362,45.44832,blue,none
-73.742386,45.44797,blue,none
-73.742431,45.447706,blue,none
-73.742451,45.447618,blue,none
-73.742683,45.447454,blue,none
-73.742788,45.447351,blue,none
-73.742854,45.447268,blue,none
-73.742893,45.447199,blue,none
-73.742907,45.447102,blue,none
-73.742881,45.447007,blue,none
-73.742841,45.446922,blue,none
-73.742786,45.446838,blue,none
-73.742702,45.44676,blue,none
-73.742361,45.446595,blue,none
-73.74189,45.446476,blue,none
-73.741691,45.446467,blue,none
-73.741535,45.446468,blue,none
-73.74134,45.446486,blue,none
-73.741166,45.446514,blue,none
-73.741022,45.44657,blue,none
-73.740739,45.44667,blue,none
-73.740545,45.446753,blue,none
-73.740372,45.446849,blue,none
-73.740214,45.446875,blue,none
-73.740207,45.446877,blue,none
-73.7402,45.44688,blue,none
-73.740021,45.44697,blue,none
-73.739327,45.447212,blue,none
-73.738752,45.447388,blue,none
-73.738678,45.44741,blue,none
-73.738425,45.447455,blue,none
-73.737915,45.447555,blue,none
-73.737623,45.447601,blue,none
-73.737205,45.447647,blue,none
-73.73681,45.447665,blue,none
-73.736554,45.447675,blue,none
-73.736062,45.447676,blue,none
-73.735769,45.44765,blue,none
-73.735517,45.447618,blue,none
-73.735517,45.447619,blue,none
-73.735277,45.447589,blue,none
-73.735137,45.447553,blue,none
-73.734536,45.447392,blue,none
-73.733929,45.447239,blue,none
-73.733761,45.447231,blue,none
-73.732781,45.447045,blue,none
-73.732614,45.447009,blue,none
-73.731954,45.446869,blue,none
-73.731605,45.446795,blue,none
-73.728245,45.44604,blue,none
-73.728112,45.44601,blue,none
-73.726013,45.445538,blue,none
-73.725675,45.445459,blue,none
-73.724938,45.445288,blue,none
-73.723608,45.445002,blue,none
-73.721769,45.444591,blue,none
-73.721612,45.444556,blue,none
-73.720891,45.444404,blue,none
-73.720354,45.444361,blue,none
-73.720274,45.444289,blue,none
-73.720261,45.444283,blue,none
-73.720247,45.444279,blue,none
-73.719479,45.444227,blue,none
-73.719469,45.444227,blue,none
-73.719463,45.444228,blue,none
-73.719335,45.444261,blue,none
-73.718416,45.444047,blue,none
-73.71812,45.443978,blue,none
-73.716955,45.443719,blue,none
-73.715803,45.44347,blue,none
