Longitude,Latitude,LineStringColor,Icon
-73.551874,45.532721,blue,none
-73.552425,45.532957,blue,none
-73.552599,45.533027,blue,none
-73.552454,45.533192,blue,none
-73.552198,45.5335,blue,none
-73.552073,45.533449,blue,none
-73.550586,45.532856,blue,none
-73.549679,45.532503,blue,none
-73.549433,45.532406,blue,none
-73.547922,45.531831,blue,none
-73.546616,45.531315,blue,none
-73.546614,45.531315,blue,none
-73.546521,45.531278,blue,none
-73.546803,45.530917,blue,none
-73.547058,45.530637,blue,none
-73.547484,45.530153,blue,none
-73.547557,45.53007,blue,none
-73.548068,45.529494,blue,none
-73.548479,45.529039,blue,none
-73.548554,45.528955,blue,none
-73.549502,45.527953,blue,none
-73.549502,45.527954,blue,none
-73.549603,45.527848,blue,none
-73.550458,45.526904,blue,none
-73.550524,45.526831,blue,none
-73.550908,45.526425,blue,none
-73.551678,45.525601,blue,none
-73.55179,45.52548,blue,none
-73.552839,45.52431,blue,none
-73.55309,45.524051,blue,none
-73.553197,45.523941,blue,none
-73.553811,45.523266,blue,none
-73.553815,45.523246,blue,none
-73.553799,45.523229,blue,none
-73.553377,45.52303,blue,none
-73.552826,45.522787,blue,none
-73.55253,45.522651,blue,none
-73.552378,45.522581,blue,none
-73.551187,45.522014,blue,none
-73.549927,45.521436,blue,none
-73.55052,45.520806,blue,none
-73.550608,45.520712,blue,none
-73.551222,45.520045,blue,none
-73.551567,45.519685,blue,none
-73.551836,45.519388,blue,none
-73.552287,45.518901,blue,none
-73.552386,45.518794,blue,none
-73.552985,45.518129,blue,none
-73.553457,45.517698,blue,none
-73.553979,45.517321,blue,none
-73.554519,45.516923,blue,none
-73.554835,45.5166,blue,none
-73.554944,45.516488,blue,none
-73.555353,45.51602,blue,none
-73.555822,45.515499,blue,none
-73.555822,45.5155,blue,none
-73.555928,45.515382,blue,none
-73.556324,45.51494,blue,none
-73.556649,45.514573,blue,none
-73.556746,45.514463,blue,none
-73.557168,45.514005,blue,none
-73.55738,45.513775,blue,none
-73.557501,45.513645,blue,none
-73.558232,45.512841,blue,none
-73.558319,45.512744,blue,none
-73.5592,45.511808,blue,none
-73.559457,45.511538,blue,none
-73.559725,45.51124,blue,none
-73.56007,45.510853,blue,none
-73.560135,45.51078,blue,none
-73.560556,45.510169,blue,none
-73.561284,45.50935,blue,none
-73.561708,45.508881,blue,none
-73.561895,45.508638,blue,none
-73.562014,45.508485,blue,none
-73.56256,45.507882,blue,none
-73.56269,45.507739,blue,none
-73.564072,45.506199,blue,none
-73.564348,45.505858,blue,none
-73.564826,45.50527,blue,none
-73.565593,45.504325,blue,none
-73.566448,45.503202,blue,none
-73.56654,45.503082,blue,none
-73.566858,45.502596,blue,none
-73.567324,45.502072,blue,none
-73.567393,45.501995,blue,none
-73.567494,45.501897,blue,none
-73.567661,45.501734,blue,none
-73.568237,45.501104,blue,none
-73.56902,45.500256,blue,none
-73.569118,45.50015,blue,none
-73.569743,45.499501,blue,none
-73.570231,45.498995,blue,none
-73.570422,45.498799,blue,none
-73.570979,45.498195,blue,none
-73.571061,45.498106,blue,none
-73.571725,45.497403,blue,none
-73.572363,45.496716,blue,none
-73.572428,45.496647,blue,none
-73.573155,45.495909,blue,none
-73.573623,45.495419,blue,none
-73.57373,45.495305,blue,none
-73.574446,45.494567,blue,none
-73.575014,45.493988,blue,none
-73.575015,45.493989,blue,none
-73.575137,45.493865,blue,none
-73.575916,45.493036,blue,none
-73.576505,45.492424,blue,none
-73.576618,45.492307,blue,none
-73.577652,45.491218,blue,none
-73.578186,45.490662,blue,none
-73.578721,45.490259,blue,none
-73.579373,45.489879,blue,none
-73.579373,45.489878,blue,none
-73.57946,45.489828,blue,none
-73.580276,45.489405,blue,none
